name,neighbourhood_cleansed,price_USD,latitude,longitude,property_group,accommodates,listing_url,bathrooms,bedrooms,license,host_since,host_response_time,host_response_rate,host_acceptance_rate,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
Cozy Brookland Studio Oasis - 7 Min Walk to Metro,"North Michigan Park, Michigan Park, University Heights",105,38.938,-76.9935,Entire Properties,2,https://www.airbnb.com/rooms/51584912,1,1,with hosted license,2015-06-03,within an hour,100%,98%,4.81,4.89,4.83,4.96,4.96,4.85,4.81,2.86
Beautiful DC Basement Suite!,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",95,38.87049,-76.97482,Private room,2,https://www.airbnb.com/rooms/51596844,1,1,with hosted license,2021-05-11,within an hour,67%,67%,4.86,5,5,4.86,4.86,4.86,4.86,0.21
Luxury Ocean View Condo (5⭐️),"Capitol Hill, Lincoln Park",271,38.88,-76.98117,Entire Properties,4,https://www.airbnb.com/rooms/51599456,1,2,no information,2020-08-14,N/A,N/A,N/A,4.58,4.5,4.54,4.75,4.75,4.71,4.63,0.7
Apartment in the Heart of DC - super fun bonus!,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",136,38.90539104031921,-77.01626430921091,Entire Properties,3,https://www.airbnb.com/rooms/51650242,1,1,with hosted license,2016-10-23,within an hour,100%,100%,4.93,4.95,4.95,4.96,4.99,4.96,4.96,4.73
New construction near Popular 14th and U St NW,"Howard University, Le Droit Park, Cardozo/Shaw",209,38.91811,-77.03054,Entire Properties,4,https://www.airbnb.com/rooms/51650632,1,1,with hosted license,2015-05-04,within an hour,100%,100%,4.84,4.83,4.78,4.98,4.98,4.96,4.76,2.43
"Quiet 1BR Apartment (Kitchen, W/D, Parking)","Union Station, Stanton Park, Kingman Park",120,38.8976,-76.98328,Entire Properties,3,https://www.airbnb.com/rooms/51662043,1,1,with hosted license,2013-05-18,within an hour,100%,59%,5,5,4.96,5,5,4.92,4.96,0.75
Studio at English Basement in Georgetown,"Georgetown, Burleith/Hillandale",107,38.91354,-77.07435,Entire Properties,2,https://www.airbnb.com/rooms/51667347,1,1,with hosted license,2012-05-14,within an hour,93%,98%,4.8,4.86,4.91,4.91,4.92,4.94,4.76,4.98
"Cozy luxury basement w/Kitchen,Metro, Stores","Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",80,38.95912170410156,-77.001220703125,Private room,2,https://www.airbnb.com/rooms/51694988,1,1,with both hosted and unhosted license,2019-05-17,within an hour,100%,97%,4.59,4.72,4.84,4.72,4.75,4.69,4.5,0.96
420 Friendly Colorful Fun & Cozy Near Dispensary,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",163,38.90256,-76.92791,Entire Properties,6,https://www.airbnb.com/rooms/51804946,1.5,2,with both hosted and unhosted license,2016-04-21,within an hour,100%,100%,4.8,4.82,4.83,4.89,4.96,4.47,4.68,2.3
Charming 2BR Apartment in Heart of DC with Parking,"Union Station, Stanton Park, Kingman Park",173,38.90372,-77.00146,Entire Properties,6,https://www.airbnb.com/rooms/51816428,1,2,with both hosted and unhosted license,2015-10-15,within an hour,100%,99%,4.89,4.91,4.84,4.95,4.97,4.89,4.79,8.22
Centrally located Capitol Hill one-bedroom unit,"Capitol Hill, Lincoln Park",129,38.8837021,-76.9978995,Entire Properties,2,https://www.airbnb.com/rooms/51818199,1,1,with hosted license,2018-10-15,within an hour,100%,78%,4.99,4.97,4.98,5,4.97,4.99,4.92,3.71
Spacious 2Bedroom House with Free Parking,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",150,38.95912170410156,-77.001220703125,Entire Properties,5,https://www.airbnb.com/rooms/51823848,1,2,with both hosted and unhosted license,2019-05-17,within an hour,100%,97%,4.67,4.83,4.83,4.87,4.87,4.62,4.54,1.53
Brookland Home with 4 Car Parking Near Metro,"North Michigan Park, Michigan Park, University Heights",194,38.94651,-76.99691,Entire Properties,8,https://www.airbnb.com/rooms/51831938,2.5,3,with both hosted and unhosted license,2021-08-24,within an hour,100%,100%,4.82,4.88,4.86,4.94,4.95,4.69,4.68,2.43
Cozy Modern Suite w/Parking. Beautifully Renovated,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",107,38.95779,-77.0022,Entire Properties,3,https://www.airbnb.com/rooms/51845735,1,1,no information,2021-08-24,within an hour,100%,100%,4.75,NA,NA,NA,NA,NA,NA,NA
Spacious 3 Bedroom 2 Bath House with Free Parking,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",190,38.95912170410156,-77.001220703125,Entire Properties,8,https://www.airbnb.com/rooms/51847493,2,3,with hosted license,2019-05-17,within an hour,100%,97%,4.33,4.5,4.5,4.58,4.83,4.42,4.33,0.35
Private basement apartment-discounts week/month,"Takoma, Brightwood, Manor Park",110,38.95981,-77.02376,Entire Properties,2,https://www.airbnb.com/rooms/51887022,1,1,with hosted license,2014-03-12,within a few hours,100%,83%,5,5,5,4.97,5,4.71,4.97,1
Spacious 1-bedroom apartment near Union Station,"Union Station, Stanton Park, Kingman Park",82,38.89844,-76.99177,Entire Properties,3,https://www.airbnb.com/rooms/51893946,1,1,with hosted license,2012-09-05,within an hour,100%,100%,4.85,4.79,4.85,4.96,4.96,4.89,4.79,1.55
"Destination Dupont - Deluxe Living, Spacious, Brig","Dupont Circle, Connecticut Avenue/K Street",616,38.90998,-77.0476,Entire Properties,8,https://www.airbnb.com/rooms/51922422,2,3,with hosted license,2015-10-15,within an hour,100%,97%,4.67,4.77,4.82,4.9,4.82,4.98,4.56,2.41
English basement conveniently on Capitol Hill,"Union Station, Stanton Park, Kingman Park",133,38.89915,-77.00084,Entire Properties,4,https://www.airbnb.com/rooms/51944798,1,2,with hosted license,2012-05-29,within an hour,100%,100%,4.92,4.95,4.96,4.95,4.96,4.95,4.88,7.49
Spacious guesthouse with on-premise parking,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",122,38.95612,-76.99255,Entire Properties,6,https://www.airbnb.com/rooms/51955224,1,1,with hosted license,2016-02-12,within an hour,100%,97%,4.69,4.84,4.67,4.87,4.93,4.63,4.77,2.06
Luxury escape in DC now with a private Deck!,"Brookland, Brentwood, Langdon",251,38.92914,-76.97168,Entire Properties,2,https://www.airbnb.com/rooms/51962614,1,1,with both hosted and unhosted license,2014-12-15,within an hour,100%,99%,5,5,4.96,4.99,5,4.76,4.84,6.31
The Lobbyist Flat,"Union Station, Stanton Park, Kingman Park",315,38.89712524414063,-77.0028305053711,Entire Properties,6,https://www.airbnb.com/rooms/51963661,2.5,2,with hosted license,2021-08-30,within a few hours,100%,96%,4.75,4.81,4.75,4.91,4.91,4.88,4.56,1.01
Freshly Renovated on Logan Circle's Finest Street,"Dupont Circle, Connecticut Avenue/K Street",246,38.91385,-77.0349,Entire Properties,2,https://www.airbnb.com/rooms/51975989,1,1,with hosted license,2015-02-06,within an hour,100%,100%,4.99,4.98,4.98,4.98,5,4.99,4.93,3.5
Iconic | Uncompromised luxury | Historic | DuPont,"Dupont Circle, Connecticut Avenue/K Street",313,38.90946,-77.04496,Entire Floor/Loft,6,https://www.airbnb.com/rooms/51987458,2,3,Exempt,2013-08-13,within an hour,100%,98%,4.62,4.67,4.75,4.84,4.74,4.89,4.34,1.8
Iconic | Uncompromised luxury | Historic | DuPont,"Dupont Circle, Connecticut Avenue/K Street",591,38.9106,-77.04509,Entire Floor/Loft,6,https://www.airbnb.com/rooms/51987731,3,3,Exempt,2013-08-13,within an hour,100%,98%,4.5,4.53,4.69,4.83,4.72,4.95,4.44,1.93
Cozy 2 bed/2 bath family-friendly apartment,"Brightwood Park, Crestwood, Petworth",191,38.93849,-77.02885,Entire Properties,5,https://www.airbnb.com/rooms/51988092,2,2,with hosted license,2012-06-11,within an hour,100%,100%,4.81,4.9,4.79,4.95,4.98,4.72,4.84,3.46
2 Bedroom English Basement steps from the Capitol,"Capitol Hill, Lincoln Park",296,38.884361,-77.006622,Entire Properties,4,https://www.airbnb.com/rooms/52003587,1,2,with hosted license,2016-08-21,within an hour,100%,100%,5,4.98,5,4.98,4.98,5,4.87,4.03
Beautiful Colonial Home in Upscale DC Neighborhood,"North Cleveland Park, Forest Hills, Van Ness",595,38.94695,-77.06853,Entire Properties,6,https://www.airbnb.com/rooms/52025606,2.5,3,with unhosted license,2016-01-18,N/A,N/A,N/A,5,5,5,5,5,5,4,0.03
"Prime Location, Great Stay: Near National Mall","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",249,38.8978,-77.01067,Private room,2,https://www.airbnb.com/rooms/52056320,1,1,Exempt,2013-03-25,within an hour,93%,97%,4.87,4.89,4.91,4.96,4.88,4.94,4.78,2.99
Fancy 1-BR in Central Location ⚜ Parking available,"Edgewood, Bloomingdale, Truxton Circle, Eckington",161,38.91026,-77.01481,Entire Properties,4,https://www.airbnb.com/rooms/52093234,1,1,with hosted license,2021-09-05,within an hour,100%,99%,4.86,4.83,4.88,4.79,4.93,4.75,4.8,4.59
"Fabulous Private Bedroom !!!! Shaw, DC","Edgewood, Bloomingdale, Truxton Circle, Eckington",77,38.90908,-77.01428,Private room,2,https://www.airbnb.com/rooms/52130706,1.5,1,Exempt,2014-08-02,within an hour,100%,100%,5,5,5,5,5,4.88,5,0.24
Family-Friendly 1 Bedroom - Mt. Pleasant-AdMo-CoHi,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",123,38.93552427686103,-77.04239871413766,Entire Properties,5,https://www.airbnb.com/rooms/52132867,1,1,with hosted license,2011-06-28,within an hour,100%,96%,4.95,4.94,4.91,4.96,4.91,4.9,4.82,6
Trendy Apt in Bloomingdale - Amenities / PKING / L,"Edgewood, Bloomingdale, Truxton Circle, Eckington",144,38.9131,-77.01222,Entire Properties,4,https://www.airbnb.com/rooms/52145485,1,1,with hosted license,2015-10-15,within an hour,100%,97%,4.9,4.94,4.87,4.91,4.9,4.78,4.78,2.65
Spacious Modern One Bedroom Near Metro,"North Michigan Park, Michigan Park, University Heights",81,38.94401,-76.9805,Entire Properties,2,https://www.airbnb.com/rooms/52152674,1,1,with hosted license,2017-08-23,within a few hours,100%,57%,5,5,5,5,5,5,5,1.14
Georgetown Sunny Modern 3rd Fl Apt,"Georgetown, Burleith/Hillandale",194,38.909367,-77.061646,Entire Properties,4,https://www.airbnb.com/rooms/52188587,2,2,no information,2009-05-18,within an hour,100%,99%,5,4.5,5,5,5,5,4.5,0.07
"2 bedrooms, free parking, private entrance NW DC","Brightwood Park, Crestwood, Petworth",185,38.9535,-77.01994,Entire Properties,4,https://www.airbnb.com/rooms/52191819,1,2,with both hosted and unhosted license,2011-07-25,within an hour,100%,94%,4.94,4.97,4.98,4.94,4.98,4.77,4.97,2.18
Elegant 4BR Capitol Hill Home Steps from Iconic DC,"Capitol Hill, Lincoln Park",477,38.88108,-76.98379,Entire Properties,8,https://www.airbnb.com/rooms/52201387,4,4,Exempt,2015-05-11,within an hour,100%,100%,4.81,4.72,4.82,4.91,4.95,4.68,4.72,1.72
Adorable Studio Space in Private Carriage House,"Shaw, Logan Circle",117,38.91237,-77.02551,Entire Properties,2,https://www.airbnb.com/rooms/52246295,1,1,with hosted license,2021-09-13,within an hour,100%,100%,4.83,4.89,4.9,4.87,4.93,4.77,4.69,4.62
Charming 2 Bedroom English Basement - Bloomingdale,"Edgewood, Bloomingdale, Truxton Circle, Eckington",112,38.91293,-77.01308,Entire Properties,6,https://www.airbnb.com/rooms/52281658,1,2,with hosted license,2019-05-05,within an hour,100%,100%,4.87,4.91,4.84,4.95,4.93,4.83,4.85,3.01
Private and Spacious Comfort in the Heart of DC,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",129,38.9256,-77.0299,Entire Properties,4,https://www.airbnb.com/rooms/52350320,1,1,with hosted license,2012-07-07,within an hour,100%,92%,4.91,4.91,4.97,4.86,4.99,4.79,4.86,2.92
"Private, Walkable 1BR in NOMA","Union Station, Stanton Park, Kingman Park",146,38.90282,-76.99887,Entire Properties,4,https://www.airbnb.com/rooms/52365042,1,1,with hosted license,2011-10-07,within an hour,100%,97%,4.98,5,4.99,5,4.98,4.94,4.93,5.44
Experience the beauty of spring in the city oasis,"Congress Heights, Bellevue, Washington Highlands",269,38.83089,-76.99927,Entire Properties,7,https://www.airbnb.com/rooms/52366167,1,3,with unhosted license,2020-08-03,within an hour,100%,96%,4.65,4.25,4.65,4.8,4.5,4.3,4.5,0.6
Heart of Georgetown: 50”Roku+FAST WiFi+Walkscore98,"Georgetown, Burleith/Hillandale",123,38.90947,-77.06626,Entire Properties,5,https://www.airbnb.com/rooms/52382433,1.5,2,Exempt,2011-04-06,within an hour,100%,98%,4.84,4.89,4.82,4.85,4.89,4.89,4.84,2.57
Heart of Georgetown: Walkscore98+FAST WiFi+50”Roku,"Georgetown, Burleith/Hillandale",109,38.91154,-77.06432,Entire Properties,3,https://www.airbnb.com/rooms/52382504,1,1,Exempt,2011-04-06,within an hour,100%,98%,4.77,4.88,4.72,4.93,4.88,4.9,4.7,2.1
Heart of Georgetown: Walkscore98+FAST WiFi+50”Roku,"Georgetown, Burleith/Hillandale",197,38.90937,-77.06632,Entire Properties,7,https://www.airbnb.com/rooms/52382557,2.5,3,Exempt,2011-04-06,within an hour,100%,98%,4.83,4.9,4.86,4.97,4.83,4.9,4.52,0.88
Mount Pleasant Surprise! Kid & Family Friendly!,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",132,38.93308,-77.04063,Entire Properties,4,https://www.airbnb.com/rooms/52384704,1,1,with hosted license,2015-10-15,within an hour,100%,97%,4.95,4.98,4.99,4.98,4.94,4.96,4.76,2.97
Lovely 2br Rental Unit With Free  Parking,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",170,38.93172,-77.0244,Entire Properties,6,https://www.airbnb.com/rooms/52391269,1,2,with hosted license,2018-07-13,within an hour,94%,98%,4.76,4.88,4.78,4.8,4.8,4.61,4.75,1.54
"King Studio | 2500 Penn, a Placemakr Experience","West End, Foggy Bottom, GWU",269,38.903419,-77.053596,Private room,2,https://www.airbnb.com/rooms/52405664,1,1,Exempt,2021-02-22,within an hour,99%,96%,4.74,4.88,4.84,4.91,4.81,4.88,4.66,2.15
"Blueground | Navy Yard, rooftop pool, nr Nats Park","Near Southeast, Navy Yard",153,38.87881,-77.00773049999998,Entire Properties,2,https://www.airbnb.com/rooms/52435874,1,1,no information,2016-12-16,within an hour,100%,97%,4.84,NA,NA,NA,NA,NA,NA,NA
Corbet Flats,"Ivy City, Arboretum, Trinidad, Carver Langston",92,38.9019,-76.97571,Entire Properties,2,https://www.airbnb.com/rooms/52490140,1,1,no information,2015-02-24,within an hour,100%,95%,4.75,5,5,5,5,4.75,5,0.12
"Lovely, Clean,  Bright Apartment Columbia Heights","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",104,38.92611,-77.03061,Entire Properties,6,https://www.airbnb.com/rooms/52490903,1,1,with hosted license,2020-05-29,within an hour,100%,100%,4.9,4.93,4.86,4.97,4.95,4.81,4.8,3.08
Cozy Mid-Century Apartment Steps From Restaurants,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",175,38.93245,-77.02088,Entire Properties,5,https://www.airbnb.com/rooms/52495655,1,2,with hosted license,2012-09-10,within an hour,100%,100%,4.65,4.74,4.75,4.93,4.78,4.6,4.54,2.89
In the heart of Dupont Circle: unique apartment,"Dupont Circle, Connecticut Avenue/K Street",166,38.91093,-77.03842,Entire Properties,2,https://www.airbnb.com/rooms/52496361,1,1,with hosted license,2015-10-08,within an hour,100%,100%,4.97,4.94,4.96,4.96,4.99,4.99,4.87,3.56
Penthouse condo 2BR/2.5BA w/ Rooftop & Parking,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",600,38.93082,-77.02439,Private room,6,https://www.airbnb.com/rooms/52498920,2.5,2,with hosted license,2016-05-18,within an hour,100%,92%,5,5,5,5,5,5,4.9,0.3
Pop Art Chic! Stunning Shaw / U St Apartment + Str,"Howard University, Le Droit Park, Cardozo/Shaw",261,38.91963,-77.02573,Entire Properties,7,https://www.airbnb.com/rooms/52507639,1.5,2,with hosted license,2015-10-15,within an hour,100%,97%,4.96,4.95,4.96,4.98,4.98,4.95,4.87,3.38
Sojourn on R,"Dupont Circle, Connecticut Avenue/K Street",113,38.91193,-77.04039,Entire Properties,2,https://www.airbnb.com/rooms/52518334,1,1,Exempt,2015-07-29,within an hour,99%,99%,4.25,4.31,4.88,4.75,4.75,4.88,4.06,0.97
All things Capitol Hill offers,"Union Station, Stanton Park, Kingman Park",356,38.89729,-76.98565,Entire Properties,5,https://www.airbnb.com/rooms/52533356,2,3,with both hosted and unhosted license,2021-09-29,within an hour,100%,99%,4.92,4.97,4.94,4.97,4.97,4.8,4.82,1.99
"Dupont Circle 2 bedroom, 2 bath condo w/ patio","Dupont Circle, Connecticut Avenue/K Street",135,38.914790000000004,-77.0433,Entire Properties,4,https://www.airbnb.com/rooms/52548082,2,2,no information,2015-01-22,within an hour,100%,100%,4.9,5,5,4.9,5,5,4.81,0.65
Hidden Gem in Historic Kalorama/Dupont Circle,"Kalorama Heights, Adams Morgan, Lanier Heights",149,38.913208,-77.050072,Entire Properties,2,https://www.airbnb.com/rooms/52563901,1,1,with hosted license,2012-02-01,N/A,N/A,N/A,4.95,4.91,4.95,4.96,5,5,4.91,2.35
"Private KING bed/bath Palisades, Sibley Prkng bus!","Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",81,38.93537521362305,-77.111724853515625,Private room,2,https://www.airbnb.com/rooms/52579200,1,1,with hosted license,2013-03-18,within an hour,100%,99%,4.98,4.96,4.96,4.95,4.95,4.96,4.95,1.73
"New 2 BR APT! Great location, free private parking","Shaw, Logan Circle",224,38.91084,-77.02714,Entire Properties,4,https://www.airbnb.com/rooms/52583446,1,2,with hosted license,2021-10-02,within an hour,100%,99%,4.93,4.96,4.97,4.98,4.99,4.98,4.86,6.39
Walk Along U Street Corridor from a Chic Condo!,"Howard University, Le Droit Park, Cardozo/Shaw",158,38.91768,-77.02576,Entire Properties,4,https://www.airbnb.com/rooms/52612711,2,2,with hosted license,2015-10-15,within an hour,100%,97%,4.91,4.94,4.94,4.97,5,4.94,4.68,1.04
Charming 1BR/1BD Basement only 3 blocks from metro,"Brookland, Brentwood, Langdon",121,38.92265,-76.99319,Entire Properties,3,https://www.airbnb.com/rooms/52615325,1,1,with hosted license,2014-10-17,within an hour,100%,94%,4.94,4.97,5,5,5,4.61,4.72,1.14
Centrally located charming 1 BR in Capitol Hill,"Union Station, Stanton Park, Kingman Park",122,38.899105,-76.998886,Entire Properties,4,https://www.airbnb.com/rooms/52636090,1,1,with hosted license,2016-06-16,within an hour,100%,100%,4.9,4.94,4.86,4.96,4.94,4.97,4.84,7.01
New York Ave Cozy Getaway - Mins from Downtown,"Edgewood, Bloomingdale, Truxton Circle, Eckington",94,38.90776,-77.0094,Entire Properties,3,https://www.airbnb.com/rooms/52666764,1,1,no information,2016-10-18,within an hour,100%,100%,4.57,4.71,4.57,5,4.86,4,4.29,0.23
Tranquility meets urban living! (Entire home!),"Woodridge, Fort Lincoln, Gateway",295,38.93045343863877,-76.96811714178419,Entire Properties,5,https://www.airbnb.com/rooms/52667772,2.5,3,Exempt,2014-12-15,within an hour,100%,99%,4.63,4.63,4.75,4.88,5,4.63,4.63,0.98
Lovely Capitol Hill 1 BR/1BA English Basement,"Union Station, Stanton Park, Kingman Park",112,38.90015,-76.99962,Entire Properties,4,https://www.airbnb.com/rooms/52669060,1,1,with both hosted and unhosted license,2019-03-25,within an hour,100%,100%,4.81,4.91,4.77,4.96,4.92,4.93,4.83,4.48
Charming Updated 3 Bedroom Townhouse Sleeps 8+,"Douglas, Shipley Terrace",175,38.84652,-76.9754,Entire Properties,8,https://www.airbnb.com/rooms/52671451,2.5,4,no information,2015-11-16,within a few hours,100%,0%,4.76,NA,NA,NA,NA,NA,NA,NA
Spacious 1BR apt in heart of historic Bloomingdale,"Edgewood, Bloomingdale, Truxton Circle, Eckington",139,38.9171,-77.01157,Entire Properties,4,https://www.airbnb.com/rooms/52683903,1,1,with hosted license,2015-06-26,within an hour,100%,99%,4.79,4.82,4.9,4.91,4.9,4.83,4.75,7.56
"Blueground | Mt Vernon, gym & roof, nr metro","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",238,38.9034401,-77.01598609999996,Entire Properties,2,https://www.airbnb.com/rooms/52684155,1,1,no information,2016-12-16,within an hour,100%,97%,4.84,NA,NA,NA,NA,NA,NA,NA
"Blueground | Navy Yard, gym, steps from Nats Park","Near Southeast, Navy Yard",146,38.87542979999999,-77.00018759999999,Entire Properties,2,https://www.airbnb.com/rooms/52684233,1,1,no information,2016-12-16,within an hour,100%,97%,4.71,NA,NA,NA,NA,NA,NA,NA
Slate Estate,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",590,38.8674,-76.98443,Entire Properties,12,https://www.airbnb.com/rooms/52685919,4,5,with both hosted and unhosted license,2015-02-24,within an hour,100%,95%,4.83,4.86,4.77,4.91,4.94,4.22,4.68,3.5
Cozy English Basement in the heart of DC,"Edgewood, Bloomingdale, Truxton Circle, Eckington",125,38.92574,-77.00928,Entire Properties,4,https://www.airbnb.com/rooms/52692511,1,1,with hosted license,2014-07-14,within an hour,100%,100%,4.98,4.98,4.98,4.92,4.96,4.68,4.93,2.66
City Condo - Best Location,"Ivy City, Arboretum, Trinidad, Carver Langston",99,38.90247,-76.97955,Entire Properties,3,https://www.airbnb.com/rooms/52700109,1,1,no information,2014-04-23,within an hour,100%,100%,5,5,5,5,4.88,4.75,4.88,0.25
Cheerful sun-filled bedroom in urban oasis (Room 2,"Eastland Gardens, Kenilworth",34,38.90607,-76.94403,Private room,1,https://www.airbnb.com/rooms/52753789,2,1,no information,2015-10-21,within an hour,100%,100%,5,5,4.8,5,5,4.6,4.8,0.22
Central DC Flat | Sleeps 3 | Convention Center,"Edgewood, Bloomingdale, Truxton Circle, Eckington",118,38.91301,-77.01348,Entire Properties,3,https://www.airbnb.com/rooms/52759379,1,1,with hosted license,2021-10-12,within an hour,100%,96%,4.82,4.89,4.86,4.96,4.98,4.85,4.73,4.49
Lovely 1br in Capitol Hill East. 2 blocks to Metro,"Capitol Hill, Lincoln Park",201,38.88498,-76.9784,Entire Properties,2,https://www.airbnb.com/rooms/52778681,1,1,with hosted license,2014-09-30,N/A,N/A,N/A,5,4.92,5,4.97,5,4.97,4.97,1.36
Sun filled 2 bedroom classic DC row house + office,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",201,38.93375,-77.02499,Entire Properties,4,https://www.airbnb.com/rooms/52790225,1.5,2,with unhosted license,2016-03-21,within an hour,100%,100%,4.98,4.98,4.95,4.98,5,4.9,4.88,1.26
Spring Weekend Getaway! Parking. Close to bars.,"Ivy City, Arboretum, Trinidad, Carver Langston",216,38.902378,-76.987091,Entire Properties,4,https://www.airbnb.com/rooms/52825844,1,2,with hosted license,2015-06-04,within an hour,86%,100%,4.77,4.76,4.67,4.91,4.89,4.64,4.71,3.69
"Modern Condo, 2 Bed/2 Bath, Rooftop - 6 PPL","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",201,38.92975,-77.01963,Entire Properties,6,https://www.airbnb.com/rooms/52844704,2,2,with hosted license,2021-10-17,within an hour,100%,100%,4.87,4.91,4.9,4.97,4.96,4.92,4.82,2.75
Remodeled garden apartment near Metro,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",153,38.935398,-77.028305,Entire Properties,3,https://www.airbnb.com/rooms/52845562,1,1,with hosted license,2017-04-09,within an hour,100%,100%,4.98,4.96,4.96,4.91,4.96,4.89,4.91,1.65
Cozy guest suite with private entrance,"Union Station, Stanton Park, Kingman Park",84,38.89668,-76.97405,Entire Properties,2,https://www.airbnb.com/rooms/52861899,1,1,with hosted license,2017-06-01,within an hour,100%,100%,4.89,4.91,4.87,4.89,4.98,4.6,4.87,1.45
"Modern 1BR in Heart of U ST, by Metro","Howard University, Le Droit Park, Cardozo/Shaw",147,38.91557,-77.0267,Entire Properties,4,https://www.airbnb.com/rooms/52875348,1,1,with hosted license,2013-09-24,within an hour,100%,99%,4.94,4.93,4.96,5,4.96,4.96,4.89,6.28
Sojourn on R | Studio | Pets Welcome,"Dupont Circle, Connecticut Avenue/K Street",155,38.91207,-77.04229,Entire Properties,2,https://www.airbnb.com/rooms/52878265,1,1,Exempt,2015-07-29,within an hour,99%,99%,4.69,4.8,4.93,4.92,4.93,4.97,4.66,3.18
A Lovely Sojourn on the Hill,"Capitol Hill, Lincoln Park",182,38.88298,-76.99979,Entire Properties,4,https://www.airbnb.com/rooms/52898793,1,1,with hosted license,2015-07-29,within an hour,99%,99%,4.7,4.74,4.81,4.77,4.85,4.96,4.72,1.46
"Ideal Location, Large, Modern, Sunny New Reno 1 BD","Union Station, Stanton Park, Kingman Park",160,38.89543,-76.99689,Entire Properties,4,https://www.airbnb.com/rooms/52912226,1,1,with hosted license,2021-05-26,within an hour,100%,100%,4.84,4.95,4.75,4.95,4.92,4.97,4.86,3.54
Sojourn on 17th | Pets Welcome,"Dupont Circle, Connecticut Avenue/K Street",131,38.91387,-77.03763,Entire Properties,2,https://www.airbnb.com/rooms/52935936,1,1,Exempt,2015-07-29,within an hour,99%,99%,5,5,5,5,5,5,4.5,0.13
✻ Mod-Vintage Studio Space in Historic DC Building ✻ Only Steps to The White House,"Dupont Circle, Connecticut Avenue/K Street",195,38.90451,-77.03789,Entire Properties,2,https://www.airbnb.com/rooms/52939714,1,1,Exempt,2019-08-26,within an hour,100%,99%,4.84,4.92,4.81,4.85,4.96,4.96,4.77,5.22
Hilltop Hangout in Washington DC | King Bed,"Capitol View, Marshall Heights, Benning Heights",171,38.88371553667787,-76.94197044403366,Entire Properties,10,https://www.airbnb.com/rooms/52953748,2,4,with both hosted and unhosted license,2012-04-28,within an hour,100%,98%,4.9,4.92,4.84,4.98,4.91,4.6,4.88,4.97
"Small Space, Giant Charm ϟ Steps to White House!","Dupont Circle, Connecticut Avenue/K Street",198,38.90305,-77.0379,Entire Properties,2,https://www.airbnb.com/rooms/52987235,1,1,Exempt,2019-08-26,within an hour,100%,99%,4.84,4.9,4.88,4.92,4.89,4.97,4.76,4.9
Eastern Market & METRO Accessible / Modern Charm /,"Capitol Hill, Lincoln Park",129,38.8844,-76.99085,Entire Properties,2,https://www.airbnb.com/rooms/52991846,1,1,Exempt,2021-10-25,within an hour,100%,98%,4.74,4.87,4.75,4.9,4.88,4.92,4.73,4.18
Historic private one-bedroom English apartment,"Capitol Hill, Lincoln Park",125,38.88822,-76.99196,Entire Properties,2,https://www.airbnb.com/rooms/52992636,1,1,with hosted license,2020-11-04,within a few hours,91%,94%,4.98,4.98,4.99,5,4.98,4.99,4.91,5.57
Lovely 1-bedroom apartment w/ free street parking!,"Congress Heights, Bellevue, Washington Highlands",107,38.83904,-76.99232,Entire Properties,4,https://www.airbnb.com/rooms/53013286,1,1,with hosted license,2019-04-10,within an hour,100%,90%,4.69,4.81,4.77,4.81,4.9,4.32,4.63,1.96
Metro - Navy Yard - Waterfront - Mins Away,"Sheridan, Barry Farm, Buena Vista",90,38.85829,-76.99597,Private room,1,https://www.airbnb.com/rooms/53024892,1,1,no information,2016-03-15,a few days or more,0%,N/A,4.83,NA,NA,NA,NA,NA,NA,NA
A Lovely Sojourn on the Hill,"Capitol Hill, Lincoln Park",187,38.88329,-77.00121,Entire Properties,4,https://www.airbnb.com/rooms/53062687,1,1,no information,2015-07-29,within an hour,99%,99%,4,5,5,3,5,5,4,0.04
