name,neighbourhood_cleansed,price_USD,latitude,longitude,property_group,accommodates,listing_url,bathrooms,bedrooms,license,host_since,host_response_time,host_response_rate,host_acceptance_rate,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
Super Sunny Studio AdMo,"Kalorama Heights, Adams Morgan, Lanier Heights",89,38.91897,-77.0464,Entire Properties,1,https://www.airbnb.com/rooms/1688139,1,2,no information,2011-04-01,within a day,80%,11%,4.3,4.67,4.19,4.57,4.52,4.95,4.71,0.17
"Classic scandinavian, kid haven","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",496,38.92918,-77.04035,Entire Properties,8,https://www.airbnb.com/rooms/1761677,1.5,4,with hosted license,2013-10-06,within an hour,100%,100%,4.95,4.96,4.97,4.97,4.95,4.91,4.81,1.24
Top Listing! Large 1BR Zen Boutique,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",172,38.93118,-77.03811,Entire Properties,6,https://www.airbnb.com/rooms/1789722,1,1,with hosted license,2013-10-12,within an hour,100%,100%,4.9,4.92,4.94,4.95,4.96,4.84,4.87,3.56
Exceptionally large and bright  bedroom,"Capitol Hill, Lincoln Park",97,38.88981,-76.98762,Private room,1,https://www.airbnb.com/rooms/1806338,1.5,1,with hosted license,2013-10-16,within an hour,100%,100%,4.89,4.89,4.8,4.98,4.96,4.91,4.85,0.91
DC-Logan Circle/14th St - Large 1BD,"Shaw, Logan Circle",130,38.90807,-77.03174,Entire Properties,2,https://www.airbnb.com/rooms/1813962,1,1,no information,2012-07-24,within a day,100%,100%,4.74,4.83,5,4.75,4.88,4.92,4.96,0.19
Samurai themed room next to metro,"Douglas, Shipley Terrace",29,38.84136,-76.97888,Private room,2,https://www.airbnb.com/rooms/1821276,1.5,1,no information,2013-06-21,within a few hours,75%,90%,4.7,4.8,4.71,4.89,4.87,4.48,4.74,1.11
Cozy 1BR 1BA Westend gym pool,"West End, Foggy Bottom, GWU",150,38.90566,-77.05131,Private room,1,https://www.airbnb.com/rooms/1825234,1,1,no information,2012-11-17,N/A,N/A,N/A,4.73,4.91,4.64,4.64,4.82,5,4.82,0.09
Furnished Private Room South of Takoma D.C.,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",22,38.96885,-77.00968,Private room,2,https://www.airbnb.com/rooms/1838623,1,2,no information,2013-10-20,within a few hours,90%,93%,4.94,4.88,4.81,5,5,4.88,4.94,0.21
Furnished Large Private Room S. of Takoma D.C.,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",32,38.96971,-77.00793,Private room,2,https://www.airbnb.com/rooms/1841397,1,2,no information,2013-10-20,within a few hours,90%,93%,4.78,4.67,4.61,4.78,4.78,4.56,4.89,0.15
Pet Friendly Private BSMT w/Parking & Backyard,"Brightwood Park, Crestwood, Petworth",96,38.94334,-77.01426,Entire Properties,2,https://www.airbnb.com/rooms/1860120,1,1,with hosted license,2013-12-06,N/A,N/A,N/A,4.9,4.92,4.97,4.94,4.91,4.77,4.8,2.13
House near downtown DC,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",169,38.93584,-77.04107,Entire Properties,4,https://www.airbnb.com/rooms/1865861,2,2,with unhosted license,2012-08-02,within an hour,100%,91%,4.94,4.94,4.88,5,5,5,4.94,0.28
